"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
23.82 ,45.9 
23.84 ,16.6 
23.86 ,-5.8 
23.88 ,-39.6 
23.90 ,-44.4 
23.92 ,-24.1 
23.94 ,-10.1 
23.96 ,21.7 
23.98 ,26.1 
24.00 ,12.1 
24.02 ,0.8 
24.04 ,-16.8 
24.06 ,-38.2 
24.08 ,-56.6 
24.10 ,-78.1 
24.12 ,-61.9 
24.14 ,-25.6 
24.16 ,4.4 
24.18 ,45.6 
24.20 ,78.3 
24.22 ,110.3 
24.24 ,95.3 
24.26 ,48.9 
24.28 ,12.2 
24.30 ,-38.7 
24.32 ,-84.6 
24.34 ,-122.6 
24.36 ,-86.4 
24.38 ,-61.6 
24.40 ,-22.8 
24.42 ,15.0 
24.44 ,47.7 
24.46 ,32.3 
24.48 ,24.8 
24.50 ,9.5 
24.52 ,22.7 
24.54 ,33.8 
24.56 ,50.5 
24.58 ,59.4 
24.60 ,51.9 
24.62 ,55.2 
24.64 ,59.5 
24.66 ,61.7 
24.68 ,59.3 
24.70 ,46.6 
24.72 ,15.8 
24.74 ,-7.7 
24.76 ,-23.0 
24.78 ,-30.3 
24.80 ,-32.9 
24.82 ,-36.4 
24.84 ,-49.0 
24.86 ,-66.0 
24.88 ,-72.3 
24.90 ,-78.4 
24.92 ,-84.6 
24.94 ,-56.6 
24.96 ,-20.9 
24.98 ,12.8 
25.00 ,38.1 
25.02 ,48.8 
25.04 ,36.3 
25.06 ,25.0 
25.08 ,15.8 
25.10 ,37.7 
25.12 ,59.4 
25.14 ,63.0 
25.16 ,37.0 
25.18 ,21.7 
25.20 ,4.0 
25.22 ,2.3 
25.24 ,-6.2 
25.26 ,-28.6 
25.28 ,-38.0 
25.30 ,-45.7 
25.32 ,-50.5 
25.34 ,-77.7 
25.36 ,-62.8 
25.38 ,-18.9 
25.40 ,18.9 
25.42 ,50.9 
25.44 ,74.4 
25.46 ,74.9 
25.48 ,56.2 
25.50 ,45.5 
25.52 ,52.5 
25.54 ,63.5 
25.56 ,73.1 
25.58 ,85.1 
25.60 ,92.7 
25.62 ,97.5 
25.64 ,92.9 
25.66 ,81.4 
25.68 ,26.4 
25.70 ,-28.9 
25.72 ,-90.1 
25.74 ,-136.4 
25.76 ,-85.9 
25.78 ,-46.8 
25.80 ,8.1 
25.82 ,59.4 
25.84 ,82.3 
25.86 ,55.6 
25.88 ,30.1 
25.90 ,-1.1 
25.92 ,-38.0 
25.94 ,-34.7 
25.96 ,-2.0 
25.98 ,18.0 
26.00 ,63.3 
26.02 ,101.3 
26.04 ,112.2 
26.06 ,110.7 
26.08 ,94.0 
26.10 ,80.5 
26.12 ,60.8 
26.14 ,50.8 
26.16 ,20.6 
26.18 ,-20.1 
26.20 ,-57.2 
26.22 ,-102.1 
26.24 ,-133.2 
26.26 ,-122.5 
26.28 ,-120.7 
26.30 ,-100.6 
26.32 ,-76.2 
26.34 ,-54.8 
26.36 ,-48.9 
26.38 ,-40.5 
26.40 ,-29.1 
26.42 ,-17.6 
26.44 ,-14.1 
26.46 ,-9.8 
26.48 ,-5.0 
26.50 ,1.9 
26.52 ,8.0 
26.54 ,3.5 
26.56 ,-2.9 
26.58 ,-6.1 
26.60 ,-3.4 
26.62 ,-1.3 
26.64 ,7.6 
26.66 ,20.5 
26.68 ,32.7 
26.70 ,45.0 
26.72 ,57.7 
26.74 ,56.2 
26.76 ,46.4 
26.78 ,30.0 
26.80 ,10.7 
26.82 ,-0.4 
26.84 ,-3.3 
26.86 ,-6.9 
26.88 ,-10.1 
26.90 ,-20.1 
26.92 ,-18.8 
26.94 ,2.5 
26.96 ,13.4 
26.98 ,24.3 
27.00 ,26.6 
27.02 ,26.5 
27.04 ,15.5 
27.06 ,-1.9 
27.08 ,-9.5 
27.10 ,-21.6 
27.12 ,-16.7 
27.14 ,-12.0 
27.16 ,-6.4 
27.18 ,-12.9 
27.20 ,-16.3 
27.22 ,-19.3 
27.24 ,-24.2 
27.26 ,-23.6 
27.28 ,-17.5 
27.30 ,-12.4 
27.32 ,-18.5 
27.34 ,-26.5 
27.36 ,-32.3 
27.38 ,-33.6 
27.40 ,-45.4 
27.42 ,-43.0 
27.44 ,-33.4 
27.46 ,-21.3 
27.48 ,-6.9 
27.50 ,3.0 
27.52 ,0.3 
27.54 ,-9.3 
27.56 ,-8.9 
27.58 ,-15.0 
27.60 ,-16.4 
27.62 ,-23.8 
27.64 ,-32.3 
27.66 ,-42.1 
27.68 ,-45.7 
27.70 ,-39.7 
27.72 ,-34.9 
27.74 ,-25.8 
27.76 ,-17.2 
27.78 ,-2.0 
27.80 ,15.6 
27.82 ,28.4 
27.84 ,36.2 
27.86 ,35.4 
27.88 ,26.9 
27.90 ,10.1 
27.92 ,-4.5 
27.94 ,-12.5 
27.96 ,-24.5 
27.98 ,-22.9 
28.00 ,-12.6 
28.02 ,-6.8 
28.04 ,1.8 
28.06 ,9.3 
28.08 ,20.0 
28.10 ,28.6 
28.12 ,36.5 
28.14 ,31.1 
28.16 ,18.1 
28.18 ,2.4 
28.20 ,-15.6 
28.22 ,-31.9 
28.24 ,-21.9 
28.26 ,-11.8 
28.28 ,1.5 
28.30 ,15.3 
28.32 ,29.8 
28.34 ,24.3 
28.36 ,13.6 
28.38 ,10.2 
28.40 ,2.4 
28.42 ,-1.0 
28.44 ,-2.3 
28.46 ,-3.6 
28.48 ,-4.8 
28.50 ,-8.9 
28.52 ,-15.5 
28.54 ,-14.8 
28.56 ,-7.6 
28.58 ,0.0 
28.60 ,-2.0 
28.62 ,-14.8 
28.64 ,-22.5 
28.66 ,-37.4 
28.68 ,-36.5 
28.70 ,-25.1 
28.72 ,-16.4 
28.74 ,-1.4 
28.76 ,15.3 
28.78 ,30.2 
28.80 ,39.3 
28.82 ,40.6 
28.84 ,38.5 
28.86 ,32.9 
28.88 ,18.3 
28.90 ,12.5 
28.92 ,7.0 
28.94 ,-0.1 
28.96 ,-6.8 
28.98 ,-13.0 
29.00 ,-12.8 
29.02 ,-11.5 
29.04 ,-10.2 
29.06 ,-8.4 
29.08 ,-14.1 
29.10 ,-20.5 
29.12 ,-26.9 
29.14 ,-35.0 
29.16 ,-35.9 
29.18 ,-29.7 
29.20 ,-22.7 
29.22 ,1.8 
29.24 ,9.9 
29.26 ,20.3 
29.28 ,25.6 
29.30 ,19.9 
29.32 ,16.0 
29.34 ,10.7 
29.36 ,15.6 
29.38 ,19.8 
29.40 ,24.2 
29.42 ,14.1 
29.44 ,5.5 
29.46 ,-6.6 
29.48 ,-9.7 
29.50 ,-2.6 
29.52 ,1.6 
29.54 ,10.0 
29.56 ,9.4 
29.58 ,3.9 
29.60 ,0.0 
29.62 ,-6.6 
29.64 ,-9.9 
29.66 ,-10.9 
29.68 ,-11.5 
29.70 ,-13.1 
29.72 ,-16.8 
29.74 ,-19.9 
29.76 ,-10.4 
29.78 ,-1.0 
29.80 ,5.5 
29.82 ,12.9 
29.84 ,20.0 
29.86 ,19.9 
29.88 ,16.9 
29.90 ,14.3 
29.92 ,10.9 
29.94 ,12.8 
29.96 ,15.2 
29.98 ,13.7 
30.00 ,11.7 
30.02 ,9.7 
30.04 ,6.0 
30.06 ,-2.8 
30.08 ,-5.0 
30.10 ,-8.4 
30.12 ,-17.8 
30.14 ,-32.1 
30.16 ,-42.0 
30.18 ,-51.8 
30.20 ,-47.2 
30.22 ,-39.4 
30.24 ,-29.0 
30.26 ,-11.0 
30.28 ,5.0 
30.30 ,13.2 
30.32 ,15.7 
30.34 ,17.7 
30.36 ,19.5 
30.38 ,25.5 
30.40 ,33.1 
30.42 ,32.8 
30.44 ,25.2 
30.46 ,17.3 
30.48 ,4.5 
30.50 ,-8.5 
30.52 ,-19.0 
30.54 ,-22.9 
30.56 ,-30.4 
30.58 ,-27.7 
30.60 ,-22.7 
30.62 ,-17.4 
30.64 ,-12.1 
30.66 ,-12.6 
30.68 ,-12.9 
30.70 ,-8.0 
30.72 ,-2.6 
30.74 ,3.9 
30.76 ,6.5 
30.78 ,5.5 
30.80 ,5.0 
30.82 ,6.4 
30.84 ,12.6 
30.86 ,17.9 
30.88 ,24.3 
30.90 ,30.7 
30.92 ,29.8 
30.94 ,25.1 
30.96 ,21.6 
30.98 ,16.3 
31.00 ,19.2 
31.02 ,23.4 
31.04 ,28.2 
31.06 ,30.1 
31.08 ,19.6 
31.10 ,10.6 
31.12 ,-3.9 
31.14 ,-16.3 
31.16 ,-32.2 
31.18 ,-33.5 
31.20 ,-21.9 
31.22 ,-14.8 
31.24 ,-1.0 
31.26 ,1.1 
31.28 ,-5.3 
31.30 ,-10.1 
31.32 ,-12.6 
31.34 ,-14.3 
31.36 ,-12.9 
31.38 ,-10.4 
31.40 ,-7.1 
31.42 ,-1.8 
31.44 ,3.3 
31.46 ,8.5 
31.48 ,15.8 
31.50 ,23.9 
31.52 ,31.9 
31.54 ,34.1 
31.56 ,31.8 
31.58 ,21.3 
31.60 ,7.3 
31.62 ,0.9 
31.64 ,-1.5 
31.66 ,-4.7 
31.68 ,-7.5 
31.70 ,-12.1 
31.72 ,-15.6 
31.74 ,-11.6 
31.76 ,-5.6 
31.78 ,-0.6 
31.80 ,-0.3 
31.82 ,-0.3 
31.84 ,1.4 
31.86 ,4.6 
31.88 ,7.2 
31.90 ,8.6 
31.92 ,9.8 
31.94 ,12.4 
31.96 ,14.7 
31.98 ,17.2 
32.00 ,20.0 
32.02 ,25.6 
32.04 ,31.7 
32.06 ,28.7 
32.08 ,23.1 
32.10 ,10.5 
32.12 ,-0.1 
32.14 ,-1.1 
32.16 ,-3.6 
32.18 ,-5.3 
32.20 ,-8.3 
32.22 ,-5.2 
32.24 ,-0.7 
32.26 ,3.7 
32.28 ,9.6 
32.30 ,15.5 
32.32 ,20.5 
32.34 ,14.3 
32.36 ,7.3 
32.38 ,2.1 
32.40 ,-2.2 
32.42 ,-7.0 
32.44 ,-10.0 
32.46 ,-7.5 
32.48 ,-5.4 
32.50 ,-2.9 
32.52 ,-1.5 
32.54 ,0.0 
32.56 ,-0.1 
32.58 ,-0.6 
32.60 ,-1.1 
32.62 ,-1.0 
32.64 ,-0.3 
32.66 ,0.1 
32.68 ,1.6 
32.70 ,5.3 
32.72 ,8.6 
32.74 ,12.6 
32.76 ,15.4 
32.78 ,13.1 
32.80 ,10.2 
32.82 ,5.6 
32.84 ,0.6 
32.86 ,-4.0 
32.88 ,-9.8 
32.90 ,-9.6 
32.92 ,-4.6 
32.94 ,-0.7 
32.96 ,3.1 
32.98 ,4.5 
33.00 ,6.8 
33.02 ,5.2 
33.04 ,4.5 
33.06 ,1.8 
33.08 ,-0.2 
33.10 ,-2.9 
33.12 ,-2.8 
33.14 ,-1.7 
33.16 ,-0.6 
33.18 ,-0.5 
33.20 ,-1.7 
33.22 ,-2.2 
33.24 ,-3.6 
33.26 ,-3.2 
33.28 ,-0.7 
33.30 ,1.4 
33.32 ,4.1 
33.34 ,6.5 
33.36 ,6.3 
33.38 ,5.2 
33.40 ,0.6 
33.42 ,-4.5 
33.44 ,-7.6 
33.46 ,-6.4 
33.48 ,-6.5 
33.50 ,-10.7 
33.52 ,-16.1 
33.54 ,-17.4 
33.56 ,-11.7 
33.58 ,-7.0 
33.60 ,-3.6 
33.62 ,-2.5 
33.64 ,-0.2 
33.66 ,0.4 
33.68 ,3.6 
33.70 ,8.2 
33.72 ,11.5 
33.74 ,7.0 
33.76 ,3.8 
33.78 ,-1.0 
33.80 ,-2.5 
33.82 ,-3.4 
33.84 ,-4.1 
33.86 ,-4.5 
33.88 ,-6.5 
33.90 ,-12.0 
33.92 ,-11.7 
33.94 ,-10.8 
33.96 ,-9.8 
33.98 ,-8.1 
34.00 ,-7.6 
34.02 ,-11.0 
34.04 ,-13.8 
34.06 ,-16.6 
34.08 ,-14.4 
34.10 ,-13.0 
34.12 ,-11.1 
34.14 ,-10.8 
34.16 ,-9.8 
34.18 ,-9.8 
34.20 ,-6.3 
34.22 ,-0.2 
34.24 ,5.4 
34.26 ,11.0 
34.28 ,15.2 
34.30 ,19.7 
34.32 ,17.0 
34.34 ,14.0 
34.36 ,10.3 
34.38 ,6.4 
34.40 ,1.0 
34.42 ,-6.7 
34.44 ,-10.5 
34.46 ,-12.2 
34.48 ,-13.8 
34.50 ,-16.6 
34.52 ,-21.5 
34.54 ,-26.9 
34.56 ,-27.4 
34.58 ,-21.7 
34.60 ,-17.8 
34.62 ,-11.6 
34.64 ,-6.1 
34.66 ,0.0 
34.68 ,5.4 
34.70 ,9.9 
34.72 ,14.4 
34.74 ,18.7 
34.76 ,23.2 
34.78 ,26.2 
34.80 ,25.5 
34.82 ,22.7 
34.84 ,17.1 
34.86 ,12.7 
34.88 ,5.4 
34.90 ,-4.7 
34.92 ,-14.9 
34.94 ,-21.0 
34.96 ,-25.4 
34.98 ,-25.2 
35.00 ,-24.5 
35.02 ,-22.6 
35.04 ,-17.9 
35.06 ,-13.6 
35.08 ,-8.2 
35.10 ,-1.4 
35.12 ,4.4 
35.14 ,8.9 
35.16 ,9.7 
35.18 ,10.0 
35.20 ,10.0 
35.22 ,10.4 
35.24 ,13.6 
35.26 ,12.1 
35.28 ,10.0 
35.30 ,7.2 
35.32 ,1.9 
35.34 ,-2.8 
35.36 ,-8.3 
35.38 ,-13.1 
35.40 ,-19.0 
35.42 ,-19.4 
35.44 ,-13.9 
35.46 ,-10.0 
35.48 ,-4.4 
35.50 ,-4.4 
35.52 ,-4.0 
35.54 ,-4.5 
35.56 ,-4.9 
35.58 ,-3.9 
35.60 ,-2.1 
35.62 ,-2.2 
35.64 ,-1.6 
35.66 ,-1.6 
35.68 ,-1.2 
35.70 ,-1.2 
35.72 ,2.8 
35.74 ,6.8 
35.76 ,11.5 
35.78 ,9.6 
35.80 ,5.6 
35.82 ,1.7 
35.84 ,-3.1 
35.86 ,-7.8 
35.88 ,-9.2 
35.90 ,-9.2 
35.92 ,-9.5 
35.94 ,-9.2 
35.96 ,-8.6 
35.98 ,-5.2 
36.00 ,-2.2 
36.02 ,1.4 
36.04 ,3.8 
36.06 ,3.4 
36.08 ,3.4 
36.10 ,2.9 
36.12 ,4.0 
36.14 ,5.4 
36.16 ,6.7 
36.18 ,8.5 
36.20 ,8.7 
36.22 ,7.7 
36.24 ,7.0 
36.26 ,6.1 
36.28 ,7.5 
36.30 ,8.7 
36.32 ,10.2 
36.34 ,11.1 
36.36 ,9.0 
36.38 ,7.5 
36.40 ,5.3 
36.42 ,6.2 
36.44 ,7.9 
36.46 ,9.7 
36.48 ,11.8 
36.50 ,13.5 
36.52 ,10.5 
36.54 ,7.7 
36.56 ,4.4 
36.58 ,1.2 
36.60 ,-2.1 
36.62 ,-4.2 
36.64 ,-6.8 
36.66 ,-8.7 
36.68 ,-12.0 
36.70 ,-15.9 
36.72 ,-19.8 
36.74 ,-23.3 
36.76 ,-25.8 
36.78 ,-27.0 
36.80 ,-27.8 
36.82 ,-28.7 
36.84 ,-27.8 
36.86 ,-27.0 
36.88 ,-25.8 
36.90 ,-25.1 
36.92 ,-21.9 
36.94 ,-17.3 
36.96 ,-12.9 
36.98 ,-10.9 
37.00 ,-10.5 
37.02 ,-9.5 
37.04 ,-9.1 
37.06 ,-7.2 
37.08 ,-5.9 
37.10 ,-4.0 
37.12 ,-2.3 
37.14 ,1.8 
37.16 ,3.5 
37.18 ,4.2 
37.20 ,4.8 
37.22 ,4.3 
37.24 ,4.3 
37.26 ,3.8 
37.28 ,3.6 
37.30 ,3.2 
37.32 ,4.7 
37.34 ,6.3 
37.36 ,8.5 
37.38 ,11.0 
37.40 ,13.4 
37.42 ,16.0 
37.44 ,18.1 
37.46 ,17.3 
37.48 ,16.8 
37.50 ,15.9 
37.52 ,14.7 
37.54 ,10.8 
37.56 ,6.8 
37.58 ,3.2 
37.60 ,0.9 
37.62 ,1.9 
37.64 ,2.8 
37.66 ,4.0 
37.68 ,5.4 
37.70 ,6.9 
37.72 ,9.5 
37.74 ,11.7 
37.76 ,14.3 
37.78 ,14.3 
37.80 ,12.5 
37.82 ,12.2 
37.84 ,12.4 
37.86 ,12.6 
37.88 ,13.0 
37.90 ,13.3 
37.92 ,10.6 
37.94 ,7.9 
37.96 ,4.6 
37.98 ,2.0 
38.00 ,0.5 
38.02 ,-1.1 
38.04 ,-2.5 
38.06 ,-1.1 
38.08 ,1.8 
38.10 ,4.3 
38.12 ,7.6 
38.14 ,10.3 
38.16 ,13.3 
38.18 ,10.1 
38.20 ,6.2 
38.22 ,1.8 
38.24 ,-2.7 
38.26 ,-8.0 
38.28 ,-8.9 
38.30 ,-5.4 
38.32 ,-3.0 
38.34 ,0.6 
38.36 ,1.2 
38.38 ,2.2 
38.40 ,2.7 
38.42 ,3.2 
38.44 ,4.8 
38.46 ,6.9 
38.48 ,8.9 
38.50 ,11.2 
38.52 ,13.3 
38.54 ,14.0 
38.56 ,13.7 
38.58 ,14.0 
38.60 ,13.5 
38.62 ,13.9 
38.64 ,10.2 
38.66 ,3.0 
38.68 ,-3.2 
38.70 ,-6.3 
38.72 ,-8.5 
38.74 ,-11.2 
38.76 ,-15.7 
38.78 ,-19.7 
38.80 ,-18.8 
38.82 ,-18.2 
38.84 ,-17.0 
38.86 ,-15.6 
38.88 ,-14.2 
38.90 ,-12.9 
38.92 ,-12.5 
38.94 ,-12.0 
38.96 ,-11.6 
38.98 ,-11.4 
39.00 ,-10.6 
39.02 ,-6.4 
39.04 ,-2.1 
39.06 ,0.2 
39.08 ,-0.4 
39.10 ,-0.4 
39.12 ,-1.4 
39.14 ,-1.9 
39.16 ,-0.8 
39.18 ,1.1 
39.20 ,2.7 
39.22 ,5.0 
39.24 ,5.3 
39.26 ,4.2 
39.28 ,3.0 
39.30 ,1.1 
39.32 ,-0.5 
39.34 ,-2.4 
39.36 ,-2.0 
39.38 ,-0.7 
39.40 ,0.4 
39.42 ,1.9 
39.44 ,3.3 
39.46 ,4.8 
39.48 ,5.7 
39.50 ,6.5 
39.52 ,7.4 
39.54 ,8.1 
39.56 ,9.1 
39.58 ,12.7 
39.60 ,16.9 
39.62 ,14.4 
39.64 ,10.5 
39.66 ,7.0 
39.68 ,3.5 
39.70 ,0.2 
39.72 ,-3.2 
39.74 ,-6.4 
39.76 ,-9.5 
39.78 ,-9.1 
39.80 ,-8.3 
39.82 ,-7.3 
39.84 ,-5.1 
39.86 ,-3.0 
39.88 ,-0.4 
39.90 ,3.3 
39.92 ,5.2 
39.94 ,4.4 
39.96 ,4.0 
39.98 ,3.0 
40.00 ,2.0 
40.02 ,1.0 
40.04 ,0.1 
40.06 ,-1.0 
40.08 ,-1.4 
40.10 ,0.2 
40.12 ,1.6 
40.14 ,3.0 
40.16 ,2.3 
40.18 ,1.6 
40.20 ,1.6 
40.22 ,2.6 
40.24 ,3.2 
40.26 ,4.5 
40.28 ,4.6 
40.30 ,2.1 
40.32 ,-0.3 
40.34 ,-3.0 
40.36 ,-6.0 
40.38 ,-8.7 
40.40 ,-11.6 
40.42 ,-10.7 
40.44 ,-9.4 
40.46 ,-7.8 
40.48 ,-6.8 
40.50 ,-6.3 
40.52 ,-5.7 
40.54 ,-5.0 
40.56 ,-4.1 
40.58 ,-3.3 
40.60 ,-2.4 
40.62 ,-1.4 
40.64 ,-0.5 
40.66 ,0.4 
40.68 ,1.3 
40.70 ,2.1 
40.72 ,0.1 
40.74 ,-1.8 
40.76 ,-4.0 
40.78 ,-6.4 
40.80 ,-8.7 
40.82 ,-11.0 
40.84 ,-12.9 
40.86 ,-15.1 
40.88 ,-16.5 
40.90 ,-17.4 
40.92 ,-18.4 
40.94 ,-19.4 
40.96 ,-20.2 
40.98 ,-21.3 
41.00 ,-19.8 
41.02 ,-17.3 
41.04 ,-13.5 
41.06 ,-6.5 
41.08 ,-1.4 
41.10 ,2.0 
41.12 ,5.5 
41.14 ,8.2 
41.16 ,8.9 
41.18 ,10.2 
41.20 ,9.3 
41.22 ,8.0 
41.24 ,6.1 
41.26 ,3.3 
41.28 ,0.3 
41.30 ,-2.4 
41.32 ,-5.7 
41.34 ,-4.5 
41.36 ,-1.3 
41.38 ,1.3 
41.40 ,3.3 
41.42 ,4.8 
41.44 ,5.4 
41.46 ,5.8 
41.48 ,6.2 
41.50 ,6.5 
41.52 ,6.9 
41.54 ,7.2 
41.56 ,7.5 
41.58 ,7.7 
41.60 ,7.3 
41.62 ,6.9 
41.64 ,6.4 
41.66 ,5.8 
41.68 ,5.4 
41.70 ,4.8 
41.72 ,6.1 
41.74 ,7.9 
41.76 ,9.6 
41.78 ,11.4 
41.80 ,12.6 
41.82 ,13.9 
41.84 ,13.1 
41.86 ,12.3 
41.88 ,11.4 
41.90 ,10.3 
41.92 ,8.7 
41.94 ,7.2 
41.96 ,5.6 
41.98 ,4.0 
42.00 ,2.4 
42.02 ,0.7 
42.04 ,0.4 
42.06 ,0.8 
42.08 ,0.9 
42.10 ,2.3 
42.12 ,4.2 
42.14 ,5.2 
42.16 ,6.1 
42.18 ,7.2 
42.20 ,7.9 
42.22 ,8.9 
42.24 ,9.5 
42.26 ,9.5 
42.28 ,9.3 
42.30 ,8.9 
42.32 ,2.5 
42.34 ,0.0 
42.36 ,-0.5 
42.38 ,-2.0 
42.40 ,-2.4 
42.42 ,-3.3 
42.44 ,-4.8 
42.46 ,-6.4 
42.48 ,-8.0 
42.50 ,-9.7 
42.52 ,-11.4 
42.54 ,-12.8 
42.56 ,-10.6 
42.58 ,-8.9 
42.60 ,-6.6 
42.62 ,-4.3 
42.64 ,-1.9 
42.66 ,-1.1 
42.68 ,-0.9 
42.70 ,-0.5 
42.72 ,-0.4 
42.74 ,0.5 
42.76 ,1.4 
42.78 ,2.4 
42.80 ,3.5 
42.82 ,4.3 
42.84 ,4.4 
42.86 ,3.9 
42.88 ,1.3 
42.90 ,-0.8 
42.92 ,-3.6 
42.94 ,-4.7 
42.96 ,-5.5 
42.98 ,-6.2 
43.00 ,-6.8 
43.02 ,-7.3 
43.04 ,-8.0 
43.06 ,-7.5 
43.08 ,-6.4 
43.10 ,-2.8 
43.12 ,0.5 
43.14 ,4.6 
43.16 ,6.5 
43.18 ,6.0 
43.20 ,6.0 
43.22 ,5.4 
43.24 ,4.9 
43.26 ,4.4 
43.28 ,3.9 
43.30 ,2.9 
43.32 ,0.0 
43.34 ,-2.6 
43.36 ,-5.2 
43.38 ,-4.2 
43.40 ,-3.7 
43.42 ,-2.5 
43.44 ,-1.5 
43.46 ,-0.2 
43.48 ,0.2 
43.50 ,0.0 
43.52 ,-0.1 
43.54 ,-0.4 
43.56 ,-0.7 
43.58 ,-0.6 
43.60 ,-0.1 
43.62 ,0.3 
43.64 ,0.7 
43.66 ,-0.1 
43.68 ,-0.7 
43.70 ,-1.5 
43.72 ,-2.4 
43.74 ,-2.9 
43.76 ,-2.8 
43.78 ,-2.8 
43.80 ,-2.5 
43.82 ,-2.4 
43.84 ,-2.1 
43.86 ,-2.7 
43.88 ,-4.4 
43.90 ,-5.8 
43.92 ,-7.6 
43.94 ,-8.4 
43.96 ,-8.2 
43.98 ,-8.3 
44.00 ,-7.5 
44.02 ,-5.0 
44.04 ,-2.8 
44.06 ,-0.2 
44.08 ,1.8 
44.10 ,1.8 
44.12 ,2.1 
44.14 ,2.1 
44.16 ,2.1 
44.18 ,3.1 
44.20 ,4.3 
44.22 ,4.9 
44.24 ,4.9 
44.26 ,4.9 
44.28 ,4.8 
44.30 ,4.7 
44.32 ,5.2 
44.34 ,6.7 
44.36 ,7.9 
44.38 ,9.5 
44.40 ,9.7 
44.42 ,9.6 
44.44 ,9.6 
44.46 ,9.3 
44.48 ,9.1 
44.50 ,8.9 
44.52 ,8.7 
44.54 ,8.4 
44.56 ,8.2 
44.58 ,8.0 
44.60 ,7.7 
44.62 ,6.2 
44.64 ,4.7 
44.66 ,3.5 
44.68 ,3.6 
44.70 ,3.4 
44.72 ,3.5 
44.74 ,3.6 
44.76 ,3.2 
44.78 ,1.9 
44.80 ,1.5 
44.82 ,1.4 
44.84 ,1.2 
44.86 ,1.2 
44.88 ,1.1 
44.90 ,0.0 
44.92 ,-1.0 
44.94 ,-2.0 
44.96 ,-2.5 
44.98 ,-2.9 
45.00 ,-3.3 
45.02 ,-3.7 
45.04 ,-4.8 
45.06 ,-6.3 
45.08 ,-7.7 
45.10 ,-9.2 
45.12 ,-10.7 
45.14 ,-12.2 
45.16 ,-13.8 
45.18 ,-14.3 
45.20 ,-12.0 
45.22 ,-10.3 
45.24 ,-7.8 
45.26 ,-6.7 
45.28 ,-6.3 
45.30 ,-5.8 
45.32 ,-5.6 
45.34 ,-5.3 
45.36 ,-5.0 
45.38 ,-4.8 
45.40 ,-4.5 
45.42 ,-4.2 
45.44 ,-3.9 
45.46 ,-3.1 
45.48 ,-2.6 
45.50 ,-1.1 
45.52 ,1.0 
45.54 ,3.1 
45.56 ,4.6 
45.58 ,4.8 
45.60 ,5.4 
45.62 ,5.5 
45.64 ,6.3 
45.66 ,8.4 
45.68 ,10.1 
45.70 ,8.4 
45.72 ,7.1 
45.74 ,5.3 
45.76 ,3.3 
45.78 ,2.8 
45.80 ,2.9 
45.82 ,2.8 
45.84 ,2.7 
45.86 ,1.2 
45.88 ,-0.1 
45.90 ,-1.0 
45.92 ,-1.1 
45.94 ,-1.6 
45.96 ,-1.5 
45.98 ,-3.1 
46.00 ,-6.8 
46.02 ,-9.9 
46.04 ,-10.2 
46.06 ,-10.5 
46.08 ,-10.6 
46.10 ,-9.9 
46.12 ,-8.9 
46.14 ,-7.9 
46.16 ,-7.4 
46.18 ,-7.2 
46.20 ,-6.8 
46.22 ,-6.7 
46.24 ,-6.3 
46.26 ,-4.0 
46.28 ,-1.3 
46.30 ,1.3 
46.32 ,4.3 
46.34 ,7.1 
46.36 ,9.9 
46.38 ,8.6 
46.40 ,6.3 
46.42 ,4.1 
46.44 ,1.3 
46.46 ,-1.4 
46.48 ,-3.5 
46.50 ,-3.7 
46.52 ,-4.4 
46.54 ,-4.6 
46.56 ,-4.9 
46.58 ,-5.1 
46.60 ,-5.4 
46.62 ,-5.6 
46.64 ,-5.8 
46.66 ,-4.6 
46.68 ,-2.9 
46.70 ,-1.3 
46.72 ,0.7 
46.74 ,1.7 
46.76 ,1.9 
46.78 ,2.5 
46.80 ,2.5 
46.82 ,3.5 
46.84 ,5.0 
46.86 ,6.4 
46.88 ,8.0 
46.90 ,9.4 
46.92 ,9.7 
46.94 ,10.2 
46.96 ,10.5 
46.98 ,10.8 
47.00 ,11.0 
47.02 ,10.4 
47.04 ,9.9 
47.06 ,9.3 
47.08 ,8.6 
47.10 ,7.9 
47.12 ,7.2 
47.14 ,6.3 
47.16 ,5.5 
47.18 ,4.6 
47.20 ,3.8 
47.22 ,3.1 
47.24 ,2.7 
47.26 ,2.1 
47.28 ,1.7 
47.30 ,1.2 
47.32 ,0.7 
47.34 ,0.3 
47.36 ,0.8 
47.38 ,1.3 
47.40 ,1.9 
47.42 ,2.2 
47.44 ,0.9 
47.46 ,-0.3 
47.48 ,-1.7 
47.50 ,-3.1 
47.52 ,-4.7 
47.54 ,-5.3 
47.56 ,-4.8 
47.58 ,-4.3 
47.60 ,-3.8 
47.62 ,-2.5 
47.64 ,-0.9 
47.66 ,0.7 
47.68 ,1.7 
47.70 ,2.2 
47.72 ,3.5 
47.74 ,6.1 
47.76 ,8.3 
47.78 ,11.2 
47.80 ,10.7 
47.82 ,8.7 
47.84 ,7.1 
47.86 ,4.7 
47.88 ,2.7 
47.90 ,0.4 
47.92 ,-1.6 
47.94 ,-2.4 
47.96 ,-3.3 
47.98 ,-4.6 
48.00 ,-6.9 
48.02 ,-8.4 
48.04 ,-8.8 
48.06 ,-9.3 
48.08 ,-9.5 
48.10 ,-9.7 
